T_utl_uvChecker_2048;2048;2048;
TextureAtlas;1024;1024;
fin4_Ref.exr;3800;1907;C:\Users\weisl\AppData\Roaming\Blender Foundation\Blender\2.79\scripts\textures\HDRI\fin4_Ref.exr
MI_texture_wall_B.png;0;0;C:\Users\weisl\AppData\Roaming\Blender Foundation\Blender\2.79\scripts\addons\cathedral\blender\textures\tilebles\MI_texture_wall_B.png
fin4_Env.hdr;360;180;C:\Users\weisl\AppData\Roaming\Blender Foundation\Blender\2.79\scripts\textures\HDRI\fin4_Env.hdr
